Brand,Category,Size,Item Name,Price,Imagekit URL
Mother Dairy,Milk Drink,180ml,Lassi Sweet,20,https://ik.imagekit.io/foodclub/Grocery/Products/dairy/Mother%20Dairy/Lassi%20Sweet.webp?updatedAt=1762600687799
Mother Dairy,Milk Drink,180ml,Milk Shake Mango,30,https://ik.imagekit.io/foodclub/Grocery/Products/dairy/Mother%20Dairy/Milk%20Shake%20Mango.webp?updatedAt=1762600687459
Mother Dairy,Milk Drink,180ml,Milk Shake Strawberry,28,https://ik.imagekit.io/foodclub/Grocery/Products/dairy/Mother%20Dairy/Milk%20Shake%20Strawberry.webp?updatedAt=1762600687453
Mother Dairy,Milk Drink,180ml,Lassi Mango,20,https://ik.imagekit.io/foodclub/Grocery/Products/dairy/Mother%20Dairy/Lassi%20Mango.webp?updatedAt=1762600687998
Mother Dairy,Milk Drink,180ml,Rabri Lassi,20,https://ik.imagekit.io/foodclub/Grocery/Products/dairy/Mother%20Dairy/Rabri%20Lassi.webp?updatedAt=1762600687456
Mother Dairy,Milk Drink,180ml,Lassi Strawberry,20,https://ik.imagekit.io/foodclub/Grocery/Products/dairy/Mother%20Dairy/Lassi%20Strawberry.webp?updatedAt=1762600687764
Mother Dairy,Milk Drink,80ml,Nutrifit Strawberry,12,https://ik.imagekit.io/foodclub/Grocery/Products/dairy/Mother%20Dairy/Nutrifit%20Strawberry.webp?updatedAt=1762600687772
Mother Dairy,Milk Drink,80ml,Nutrifit Mango,12,https://ik.imagekit.io/foodclub/Grocery/Products/dairy/Mother%20Dairy/Lassi%20Mango.webp?updatedAt=1762600687998
,,,,,
,,,,,
Mother Dairy ,Yogurts,100g,Raspberry Yogurt,35,https://ik.imagekit.io/foodclub/Grocery/Products/Yogurt/Raspberry%20Yogurt.webp?updatedAt=1762601235792
Mother Dairy ,Yogurts,100g,Mango Yogurt,35,https://ik.imagekit.io/foodclub/Grocery/Products/Yogurt/Mango%20Yogurt.webp?updatedAt=1762601236318
Mother Dairy ,Dahi,80g,Mishti Dahi,20,https://ik.imagekit.io/foodclub/Grocery/Products/Yogurt/Mishti%20Dahi.webp?updatedAt=1762601235831
Mother Dairy ,Dahi,150g,Classic Dahi,20,https://ik.imagekit.io/foodclub/Grocery/Products/Yogurt/Classic%20Dahi.webp?updatedAt=1762601235809
,,,,,
Minute Maid,Drinks Can,300ml,Pulpy Orange,100,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Pulpy%20Orange%20Can.jpg?updatedAt=1762600972510
,,,,,
Ocean,Drinks,500ml,Ocean Pink Guava,70,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Ocean/Ocean%20Pink%20Guava.webp?updatedAt=1762600882607
Ocean,Drinks,500ml,Ocean Mango & Passion Flavour,70,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Ocean/Ocean%20Mango%20&%20Passion%20Flavour.webp?updatedAt=1762600882652
Ocean,Drinks,500ml,Ocean Orange & Lime,70,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Ocean/Ocean%20Orange%20&%20Lime.webp?updatedAt=1762600882591
Ocean,Drinks,500ml,Ocean Lively Lychee,70,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Ocean/Ocean%20Lively%20Lychee.webp?updatedAt=1762600882632
,,,,,
Mother Daiy,Milk,450ml,Low Fat Fit Life,32,https://ik.imagekit.io/foodclub/Grocery/Products/dairy/Mother%20Dairy/Low%20Fat%20Fit%20Life.jpeg?updatedAt=1762600687650
